User_ID,Experience_Level,Course_Type,Platform,Hours_Spent_Per_Week,Course_Duration_Weeks,Completion_Status,Completion_Percentage,Dropout_Reason,Satisfaction_Score
U0001,Fresher,Tech,Skillshare,16,8,Completed,67,No Dropout,2
U0002,Fresher,Non-Tech,edX,17,22,Dropped,38,Time Constraint,3
U0003,Fresher,Non-Tech,Coursera,19,21,In Progress,43,No Dropout,1
U0004,Student,Non-Tech,Udemy,14,2,Dropped,14,Time Constraint,1
U0005,Student,Non-Tech,Skillshare,8,10,Dropped,8,Too Difficult,4
U0006,Working Professional,Tech,Coursera,11,11,In Progress,53,No Dropout,4
U0007,Working Professional,Tech,YouTube,12,19,Dropped,34,Too Difficult,4
U0008,Fresher,Tech,Skillshare,1,17,Dropped,37,Too Difficult,1
U0009,Fresher,Non-Tech,Skillshare,12,14,Completed,51,No Dropout,1
U0010,Working Professional,Non-Tech,edX,5,15,Completed,98,No Dropout,1
U0011,Student,Tech,Skillshare,13,20,In Progress,71,No Dropout,5
U0012,Student,Non-Tech,edX,6,3,In Progress,34,No Dropout,3
U0013,Fresher,Tech,Coursera,19,5,Dropped,27,Time Constraint,3
U0014,Working Professional,Non-Tech,edX,16,5,In Progress,79,No Dropout,2
U0015,Fresher,Tech,Skillshare,2,15,In Progress,37,No Dropout,2
U0016,Fresher,Tech,Udemy,20,14,Dropped,27,Too Difficult,2
U0017,Working Professional,Tech,Udemy,12,15,Dropped,19,Too Difficult,1
U0018,Working Professional,Tech,Udemy,7,20,Completed,38,No Dropout,4
U0019,Working Professional,Non-Tech,Coursera,7,16,Completed,53,No Dropout,1
U0020,Working Professional,Non-Tech,YouTube,16,10,Dropped,36,Time Constraint,3
U0021,Student,Non-Tech,Skillshare,8,11,Completed,43,No Dropout,3
U0022,Student,Tech,Skillshare,1,7,Completed,82,No Dropout,4
U0023,Working Professional,Non-Tech,Udemy,11,9,In Progress,31,No Dropout,5
U0024,Student,Tech,YouTube,7,16,Completed,45,No Dropout,5
U0025,Fresher,Tech,edX,18,15,Completed,39,No Dropout,3
U0026,Fresher,Non-Tech,YouTube,3,5,Completed,66,No Dropout,4
U0027,Fresher,Tech,Coursera,6,15,Dropped,7,Lost Interest,2
U0028,Fresher,Non-Tech,Udemy,17,17,In Progress,86,No Dropout,1
U0029,Fresher,Non-Tech,YouTube,12,19,Dropped,35,No Dropout,5
U0030,Student,Non-Tech,Skillshare,20,20,Completed,63,No Dropout,1
U0031,Working Professional,Tech,Udemy,13,5,In Progress,68,No Dropout,3
